@relation class
@attribute sex {Female,Male}
@attribute workclass {Federal-gov,Local-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay}
@attribute education {Associates,Bachelors,Doctorate,Dropout,High-School-grad,Masters,Prof-school}
@attribute race {Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White}
@attribute marital-status {Married,Never-married,Separated,Widowed}
@attribute occupation {Admin,Blue-Collar,Military,Other,Professional,Sales,Service,White-Collar}
@attribute relationship {Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife}
@attribute capital-gain {high,low,medium-high,medium-low}
@attribute capital-loss {high,low,medium-high,medium-low}
@attribute hours-per-week {39.5-40.5,40.5-50.5,<39.5,>=50.5}
@attribute age {26-33,34-41,42-50,<25,>=51}
@attribute class {<=50K,>50K}
@data
Female,Private,Bachelors,White,Never-married,Professional,Unmarried,low,low,<39.5,26-33,<=50K
Male,Private,Associates,White,Never-married,Sales,Not-in-family,low,low,39.5-40.5,26-33,<=50K
Male,Local-gov,High-School-grad,White,Married,Other,Husband,medium-low,low,40.5-50.5,34-41,<=50K
Male,Private,Doctorate,White,Married,Professional,Husband,low,low,40.5-50.5,34-41,>50K
Male,Private,High-School-grad,White,Married,Sales,Husband,low,low,39.5-40.5,26-33,<=50K
Male,Private,High-School-grad,Black,Separated,Service,Unmarried,low,low,39.5-40.5,<25,<=50K
Male,Private,High-School-grad,White,Never-married,Service,Own-child,low,low,39.5-40.5,<25,<=50K
Female,Private,High-School-grad,Black,Separated,Service,Unmarried,low,low,<39.5,42-50,<=50K
Male,Private,High-School-grad,Black,Married,Blue-Collar,Husband,low,low,39.5-40.5,26-33,<=50K
Male,Private,High-School-grad,White,Married,Blue-Collar,Husband,low,low,40.5-50.5,42-50,>50K
Male,Private,Dropout,White,Separated,Blue-Collar,Not-in-family,low,low,39.5-40.5,>=51,<=50K
Male,Private,Bachelors,White,Married,Professional,Husband,low,low,40.5-50.5,34-41,>50K
Male,Private,High-School-grad,Black,Never-married,White-Collar,Not-in-family,low,low,39.5-40.5,26-33,<=50K
Male,Private,High-School-grad,White,Widowed,Blue-Collar,Unmarried,medium-low,low,39.5-40.5,>=51,<=50K
Male,Private,Bachelors,White,Married,Professional,Husband,low,low,39.5-40.5,42-50,>50K
Male,Private,Masters,White,Married,Professional,Husband,medium-high,low,40.5-50.5,>=51,>50K
